meshsize L2error H1error EnergyError NbEdgeDOFs
0.241412 0.000281718 0.000981173 0.00119594 1200
0.129713 2.49839e-05 0.000153318 0.000189562 4200
0.0657364 1.74849e-06 2.08619e-05 2.5842e-05 15600
0.0329799 1.13626e-07 2.69235e-06 3.33195e-06 60000
